agent_id,train_id,o_zone_id,d_zone_id,o_node_id,d_node_id,agent_type,time_period,volume,cost,travel_time,distance,node_sequence,time_sequence
1,1,1,2,1000900,4000931,fast_train,0900_0930,1,30,30,30,1000900;2000912;3000917;4000930;,0900;0912;0917;0930;
2,2,1,2,1000916,4001001,slow_train,0916_1000,1,44,44,44,1000916;2000931;2000933;3000943;3000945;4001000;,0916;0931;0933;0943;0945;1000;
3,3,1,2,1000908,4000953,fast_train,0908_0952,1,44,44,44,1000908;2000923;2000925;3000935;3000937;4000952;,0908;0923;0925;0935;0937;0952;
4,4,1,2,1000924,4001012,slow_train,0924_1011,1,47,47,47,1000924;2000940;2000942;3000953;3000955;4001011;,0924;0940;0942;0953;0955;1011;
